f_dyn_id,lesion_id,A_inside,alpha_inside,beta_inside,iAUC1_inside,Slope_ini_inside,Tpeak_inside,Kpeak_inside,SER_inside,maxCr_inside,peakCr_inside,UptakeRate_inside,washoutRate_inside,maxVr_inside,peakVr_inside,Vr_increasingRate_inside,Vr_decreasingRate_inside,Vr_post_1_inside,A_countor,alpha_countor,beta_countor,iAUC1_countor,Slope_ini_countor,Tpeak_countor,Kpeak_countor,SER_countor,maxCr_countor,peakCr_countor,UptakeRate_countor,washoutRate_countor,maxVr_countor,peakVr_countor,Vr_increasingRate_countor,Vr_decreasingRate_countor,Vr_post_1_countor
1,1,253.9326527974443,0.0011696743247608943,0.049011539828985984,1997.9723643257714,0.2970185041955933,20.163697722059517,-0.01455733424832816,0.4739303112806789,2.4001252328235245,3.0,0.8000417442745081,0.38887703609612956,1.087508822747583,1.0,1.087508822747583,0.1824837461040508,1.087508822747583,298.65914263881945,0.0011345568197984601,0.04894211341362881,2351.66912245019,0.3388457670760337,20.199071903413973,-0.016583827961963293,0.47353155873303104,2.4001252328235245,3.0,0.8000417442745081,0.031486118865546864,0.7351392927748854,3.0,0.2450464309249618,0.09659189278526026,0.17311234440100007
2,2,0.7315679399033372,7.840365673080305,0.03253804725767835,2.66162075268891,5.7357601635442,0.7000658353717428,-0.1866304352601101,1.3703644928259977,1.0485668761756732,1.0,1.0485668761756732,0.1284402882162188,0.9939558564254769,1.0,0.9939558564254769,0.005432021972849088,0.9939558564254769,0.44659882737933554,1.974280029938102,0.02255376949379033,1.4914194583232232,0.8817111462887959,2.270911837874053,-0.019885909953503148,1.2436316207978637,0.6486073730360893,1.0,0.6486073730360893,0.07243606735678365,0.8194614938130955,1.0,0.8194614938130955,0.1963841601975075,0.8194614938130955
3,3,3.928817299639695,1.2011347088040938,0.0329453393113674,16.312420431493656,4.719038823147211,3.016507008727721,-0.15547033525210077,1.3387257243423913,3.315657812474763,1.0,3.315657812474763,0.27916645322556705,0.5583004485423623,1.0,0.5583004485423623,0.0011735475078150277,0.5583004485423623,3.6119886819680804,107.3275128954737,0.037265117862925315,17.683096340278443,387.6657618422342,0.07422076157124766,-14.446410306471591,1.39327842469728,3.025954511141393,1.0,3.025954511141393,0.2773696421724674,0.26146212275394043,1.0,0.26146212275394043,0.03187917694353129,0.26146212275394043
4,4,2.08714154337956,0.6918506474475805,0.00010000094423717761,3.4111873747519583,1.443990228101891,12.780345467637058,-0.0001444003862794466,0.8673073574999987,2.2686536883932127,4.0,0.5671634220983032,0.0,0.9247314413655594,1.0,0.9247314413655594,0.007962670872936525,0.9247314413655594,1.737433891841638,0.6067238897794773,0.00010000150383411232,2.643710049514925,1.0541426490928543,14.357121617898182,-0.00010541585016496038,0.8321393273724638,1.8856435439184693,4.0,0.47141088597961733,0.0,0.6998387190682003,4.0,0.17495967976705007,0.0,0.6338994448255404
5,5,150.83153560600445,0.0018087577433885116,0.09162299377684492,859.3753971046569,0.2728177079745405,10.807956802860682,-0.02499637515996442,0.5742383377471705,1.2020502324056606,4.0,0.30051255810141514,0.0,0.3570041972906163,1.0,0.3570041972906163,0.014940324349599058,0.3570041972906163,152.87019060137632,0.0020613753172320504,0.101979184075275,872.4730113844626,0.3151228376462361,9.708131430819561,-0.03213596986664851,0.6074671970924191,1.2020502324056606,4.0,0.30051255810141514,0.0,0.3234831676554146,4.0,0.08087079191385366,0.0,0.16087937846049882
6,6,8.484249808561861,0.034862126366992596,0.00010002230980163068,2.0448402579295744,0.29577898895521637,167.99399922176954,-2.958449766609175e-5,0.42785334366746797,2.4794291595198925,4.0,0.6198572898799731,0.0,1.5682109951838805,2.0,0.7841054975919403,0.10224172105588747,1.261152786976127,5.139408516529004,0.0582693908358789,0.00010003128009133473,1.9121622699897645,0.29947020351487313,109.30377696479046,-2.995638780680529e-5,0.4545405569873449,2.3437359948318934,4.0,0.5859339987079734,0.0,1.5682109951838805,2.0,0.7841054975919403,0.35207595879359377,0.48560569143210125
7,7,141.9290199627821,0.0030862622871499212,0.1248913393547745,1036.9155107085219,0.4380301817632827,7.909628239862133,-0.054706176078231694,0.8033103941043286,1.3245263878497322,3.0,0.4415087959499107,0.0030118384617283667,0.24534918942890357,1.0,0.24534918942890357,0.012455478646835707,0.24534918942890357,104.37424580660077,0.003807188094975711,0.11740654914144938,752.2883556417339,0.39737238605695896,8.382228369728109,-0.046654120571051345,0.771055814018995,1.2868770517493755,4.0,0.3217192629373439,0.0,0.21413099610159642,3.0,0.07137699870053214,0.010102894182590666,0.10903084386423793
8,8,0.8222554138903067,61.348089758313705,0.00010000265356960434,3.617423098548572,50.44379893560192,0.2172338136869058,-0.005044513749691775,1.0009304572852498,1.4414003809005362,4.0,0.36035009522513406,0.0,1.0772143930115652,1.0,1.0772143930115652,0.03067895678790437,1.0772143930115652,0.5905938576016612,18.905141265909702,0.00010000246164392351,2.5766405519539415,11.165260308737963,0.6426693556189523,-0.0011165535157689897,1.00093045549868,1.0744068280003327,3.0,0.35813560933344424,0.009324612712851899,0.8470280520878604,4.0,0.2117570130219651,0.0,0.17101502852270262
9,9,96.46895328470401,0.0019182522420500003,0.08580018703182903,827.8645071253657,0.1850517859266002,11.526609703135852,-0.015877477843076283,0.7012161516680727,0.9518082598231553,2.0,0.47590412991157766,0.08237760475788036,0.15781637653153718,1.0,0.15781637653153718,0.019929619702348116,0.15781637653153718,118.86470907637978,0.0016507034273260945,0.0789556735614787,1018.9395050935722,0.19621038266049926,12.534755893656085,-0.0154919229227152,0.663608859864433,0.9518082598231553,2.0,0.47590412991157766,0.026748207251289124,0.08395084106638084,3.0,0.027983613688793613,0.004269615760720699,0.04391895241753608
10,10,0.07114837767978122,6.675472881461419,0.00010005158911413411,0.07590373852795891,0.47494906576135437,1.664043857923472,-4.751940877769689e-5,0.9998231459537232,0.12633456088589648,1.0,0.12633456088589648,0.002467731750991765,0.013296392655140913,2.0,0.006648196327570456,0.0017299680670430978,0.010350533553355743,0.07580233006009918,10.594792371709046,0.00010002337463947546,0.08506596412023901,0.80310994827851,1.092091121980171,-8.032976723335117e-5,1.0001175126362147,0.12462696697172163,1.0,0.12462696697172163,0.004063542703572305,0.011741842207610268,4.0,0.002935460551902567,0.0,0.009173801120763556
11,11,3.4326760592502525,0.4184435411016474,0.05910368831957473,3.812666336057918,1.436381125687524,4.993193893570639,-0.08489542236075531,0.9231044387030479,2.500700297710374,3.0,0.8335667659034579,0.24722917859277604,1.4077850775566934,4.0,0.35194626938917334,0.0,0.5926621742345942,3.5446925733100585,0.3985941307116647,0.05710718175859743,3.8893510974706507,1.4128936548986166,5.210582731905388,-0.08068637475586433,0.895224076866406,2.500700297710374,3.0,0.8335667659034579,0.06579249035400059,1.4077850775566934,4.0,0.35194626938917334,0.0,0.23560730458405474
12,12,3.054171516372902,0.3734339169372045,0.046480589372657734,3.230694711136849,1.1405312323571741,5.893991524942623,-0.0530125638778851,0.8252148745188468,2.224208523645127,4.0,0.5560521309112817,0.0,2.114254838397241,4.0,0.5285637095993102,0.0,0.7826017134416342,2.781249854362454,0.3556172999632088,0.04240141633636804,2.8783626596233023,0.9890605637314436,6.296986295236857,-0.041937568744659814,0.7918362054676956,2.224208523645127,4.0,0.5560521309112817,0.0,2.114254838397241,4.0,0.5285637095993102,0.0,0.5450564160477509
13,13,302.6183201016541,0.0010796276608029398,0.07776052539606239,1680.7166263938047,0.3267151090474641,12.771539094285831,-0.025405538534362625,0.5305533959247067,1.4212848684841994,4.0,0.35532121712104986,0.0,0.3633304858596678,1.0,0.3633304858596678,0.01977403753324723,0.3633304858596678,215.97508298409247,0.001437998661998563,0.0925519179861236,1200.5166991233034,0.3105718803561536,10.721667992441077,-0.028744023199518916,0.5719325145782782,1.2317039205349,4.0,0.307925980133725,0.0,0.3276854960197514,4.0,0.08192137400493785,0.0,0.07276734349073607
14,14,2.234560132008214,0.7432137740558269,0.00207307616231064,3.616766447929992,1.6607558690645112,7.91795821152518,-0.0034428734035751286,0.8870041182808472,2.274301168832966,4.0,0.5685752922082415,0.0,12.87556016856255,1.0,12.87556016856255,4.1929807190910475,0.3167373999913327,1.983527354769902,0.6105333804026067,0.00010000087953842657,2.8927584367779886,1.2110096610287089,14.277799258652335,-0.0001211020312324027,0.8264457844437243,2.274301168832966,4.0,0.5685752922082415,0.0,12.87556016856255,1.0,12.87556016856255,2.107955598607385,12.87556016856255
15,15,4.365946333455204,0.008473561159692888,0.013312090065269129,10.391045889096347,0.03699511327646959,58.131273656565725,-0.0004924822799111969,0.6537933608535779,0.11361276032817719,3.0,0.03787092010939239,0.011687600564193296,0.01392771276897879,1.0,0.01392771276897879,0.0028270355865643425,0.005893817395466524,63.29996610816487,0.0008069617710368959,0.286200552776142,261.2523830781165,0.05108065275722021,3.4891367293665403,-0.014619311055282585,0.8789855273456343,0.10720278031345357,3.0,0.03573426010448452,0.06320313482063158,0.01392771276897879,1.0,0.01392771276897879,0.0017662965803319022,0.01392771276897879
